,sensor_id_temperature,sensor_type_temperature,location_temperature,lat_temperature,lon_temperature,timestamp_new,value_type_temperature,value_temperature,sensor_id_humidity,sensor_type_humidity,location_humidity,lat_humidity,lon_humidity,value_type_humidity,value_humidity,sensor_id_P1,sensor_type_P1,location_P1,lat_P1,lon_P1,value_type_P1,value_P1,sensor_id_P2,sensor_type_P2,location_P2,lat_P2,lon_P2,value_type_P2,value_P2
20,145,DHT22,3528,-0.286,36.067,2023-02-04 05:16:15+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,99,144.0,SDS011,3528.0,-0.286,36.067,P1,43.0,144.0,SDS011,3528.0,-0.286,36.067,P2,22.0
21,145,DHT22,3528,-0.286,36.067,2023-02-04 05:18:54+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,97,144.0,SDS011,3528.0,-0.286,36.067,P1,34.0,144.0,SDS011,3528.0,-0.286,36.067,P2,17.0
22,145,DHT22,3528,-0.286,36.067,2023-02-04 05:21:35+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,97,144.0,SDS011,3528.0,-0.286,36.067,P1,19.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
23,145,DHT22,3528,-0.286,36.067,2023-02-04 05:24:15+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,96,144.0,SDS011,3528.0,-0.286,36.067,P1,35.0,144.0,SDS011,3528.0,-0.286,36.067,P2,10.0
24,145,DHT22,3528,-0.286,36.067,2023-02-04 05:26:55+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,96,144.0,SDS011,3528.0,-0.286,36.067,P1,24.0,144.0,SDS011,3528.0,-0.286,36.067,P2,13.0
25,145,DHT22,3528,-0.286,36.067,2023-02-04 05:29:35+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,96,144.0,SDS011,3528.0,-0.286,36.067,P1,23.0,144.0,SDS011,3528.0,-0.286,36.067,P2,13.0
26,145,DHT22,3528,-0.286,36.067,2023-02-04 05:32:16+00:00,temperature,16,145,DHT22,3528,-0.286,36.067,humidity,95,144.0,SDS011,3528.0,-0.286,36.067,P1,35.0,144.0,SDS011,3528.0,-0.286,36.067,P2,16.0
27,145,DHT22,3528,-0.286,36.067,2023-02-04 05:34:56+00:00,temperature,17,145,DHT22,3528,-0.286,36.067,humidity,95,144.0,SDS011,3528.0,-0.286,36.067,P1,28.0,144.0,SDS011,3528.0,-0.286,36.067,P2,15.0
28,145,DHT22,3528,-0.286,36.067,2023-02-04 05:37:36+00:00,temperature,17,145,DHT22,3528,-0.286,36.067,humidity,95,144.0,SDS011,3528.0,-0.286,36.067,P1,39.0,144.0,SDS011,3528.0,-0.286,36.067,P2,17.0
29,145,DHT22,3528,-0.286,36.067,2023-02-04 05:40:16+00:00,temperature,17,145,DHT22,3528,-0.286,36.067,humidity,93,144.0,SDS011,3528.0,-0.286,36.067,P1,22.0,144.0,SDS011,3528.0,-0.286,36.067,P2,13.0
30,145,DHT22,3528,-0.286,36.067,2023-02-04 05:42:55+00:00,temperature,17,145,DHT22,3528,-0.286,36.067,humidity,92,144.0,SDS011,3528.0,-0.286,36.067,P1,35.0,144.0,SDS011,3528.0,-0.286,36.067,P2,15.0
31,145,DHT22,3528,-0.286,36.067,2023-02-04 05:45:36+00:00,temperature,17,145,DHT22,3528,-0.286,36.067,humidity,93,144.0,SDS011,3528.0,-0.286,36.067,P1,23.0,144.0,SDS011,3528.0,-0.286,36.067,P2,13.0
32,145,DHT22,3528,-0.286,36.067,2023-02-04 05:48:16+00:00,temperature,18,145,DHT22,3528,-0.286,36.067,humidity,92,144.0,SDS011,3528.0,-0.286,36.067,P1,36.0,144.0,SDS011,3528.0,-0.286,36.067,P2,12.0
33,145,DHT22,3528,-0.286,36.067,2023-02-04 05:50:57+00:00,temperature,18,145,DHT22,3528,-0.286,36.067,humidity,92,144.0,SDS011,3528.0,-0.286,36.067,P1,63.0,144.0,SDS011,3528.0,-0.286,36.067,P2,17.0
34,145,DHT22,3528,-0.286,36.067,2023-02-04 05:53:37+00:00,temperature,18,145,DHT22,3528,-0.286,36.067,humidity,91,144.0,SDS011,3528.0,-0.286,36.067,P1,12.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
35,145,DHT22,3528,-0.286,36.067,2023-02-04 05:56:16+00:00,temperature,18,145,DHT22,3528,-0.286,36.067,humidity,90,144.0,SDS011,3528.0,-0.286,36.067,P1,20.0,144.0,SDS011,3528.0,-0.286,36.067,P2,7.0
36,145,DHT22,3528,-0.286,36.067,2023-02-04 05:58:56+00:00,temperature,18,145,DHT22,3528,-0.286,36.067,humidity,91,144.0,SDS011,3528.0,-0.286,36.067,P1,30.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
37,145,DHT22,3528,-0.286,36.067,2023-02-04 06:01:37+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,91,144.0,SDS011,3528.0,-0.286,36.067,P1,18.0,144.0,SDS011,3528.0,-0.286,36.067,P2,9.0
38,145,DHT22,3528,-0.286,36.067,2023-02-04 06:04:17+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,90,144.0,SDS011,3528.0,-0.286,36.067,P1,32.0,144.0,SDS011,3528.0,-0.286,36.067,P2,10.0
39,145,DHT22,3528,-0.286,36.067,2023-02-04 06:06:57+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,91,144.0,SDS011,3528.0,-0.286,36.067,P1,14.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
40,145,DHT22,3528,-0.286,36.067,2023-02-04 06:09:38+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,90,144.0,SDS011,3528.0,-0.286,36.067,P1,29.0,144.0,SDS011,3528.0,-0.286,36.067,P2,13.0
41,145,DHT22,3528,-0.286,36.067,2023-02-04 06:12:18+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,89,144.0,SDS011,3528.0,-0.286,36.067,P1,20.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
42,145,DHT22,3528,-0.286,36.067,2023-02-04 06:14:58+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,87,144.0,SDS011,3528.0,-0.286,36.067,P1,17.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
43,145,DHT22,3528,-0.286,36.067,2023-02-04 06:17:38+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,86,144.0,SDS011,3528.0,-0.286,36.067,P1,13.0,144.0,SDS011,3528.0,-0.286,36.067,P2,10.0
44,145,DHT22,3528,-0.286,36.067,2023-02-04 06:20:19+00:00,temperature,19,145,DHT22,3528,-0.286,36.067,humidity,86,144.0,SDS011,3528.0,-0.286,36.067,P1,14.0,144.0,SDS011,3528.0,-0.286,36.067,P2,10.0
45,145,DHT22,3528,-0.286,36.067,2023-02-04 06:22:58+00:00,temperature,20,145,DHT22,3528,-0.286,36.067,humidity,84,144.0,SDS011,3528.0,-0.286,36.067,P1,26.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
46,145,DHT22,3528,-0.286,36.067,2023-02-04 06:25:38+00:00,temperature,20,145,DHT22,3528,-0.286,36.067,humidity,83,144.0,SDS011,3528.0,-0.286,36.067,P1,27.0,144.0,SDS011,3528.0,-0.286,36.067,P2,11.0
47,145,DHT22,3528,-0.286,36.067,2023-02-04 06:28:18+00:00,temperature,20,145,DHT22,3528,-0.286,36.067,humidity,83,,,,,,,,,,,,,,
48,145,DHT22,3528,-0.286,36.067,2023-02-04 06:30:59+00:00,temperature,20,145,DHT22,3528,-0.286,36.067,humidity,81,144.0,SDS011,3528.0,-0.286,36.067,P1,20.0,144.0,SDS011,3528.0,-0.286,36.067,P2,9.0
49,145,DHT22,3528,-0.286,36.067,2023-02-04 06:33:39+00:00,temperature,21,145,DHT22,3528,-0.286,36.067,humidity,81,,,,,,,,,,,,,,
50,145,DHT22,3528,-0.286,36.067,2023-02-04 06:36:19+00:00,temperature,21,145,DHT22,3528,-0.286,36.067,humidity,76,144.0,SDS011,3528.0,-0.286,36.067,P1,18.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
51,145,DHT22,3528,-0.286,36.067,2023-02-04 06:38:59+00:00,temperature,21,145,DHT22,3528,-0.286,36.067,humidity,74,144.0,SDS011,3528.0,-0.286,36.067,P1,104.0,144.0,SDS011,3528.0,-0.286,36.067,P2,8.0
52,145,DHT22,3528,-0.286,36.067,2023-02-04 06:41:39+00:00,temperature,21,145,DHT22,3528,-0.286,36.067,humidity,71,144.0,SDS011,3528.0,-0.286,36.067,P1,17.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
53,145,DHT22,3528,-0.286,36.067,2023-02-04 06:44:19+00:00,temperature,21,145,DHT22,3528,-0.286,36.067,humidity,70,144.0,SDS011,3528.0,-0.286,36.067,P1,18.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
54,145,DHT22,3528,-0.286,36.067,2023-02-04 06:46:59+00:00,temperature,22,145,DHT22,3528,-0.286,36.067,humidity,70,144.0,SDS011,3528.0,-0.286,36.067,P1,21.0,144.0,SDS011,3528.0,-0.286,36.067,P2,7.0
55,145,DHT22,3528,-0.286,36.067,2023-02-04 06:49:40+00:00,temperature,22,145,DHT22,3528,-0.286,36.067,humidity,66,144.0,SDS011,3528.0,-0.286,36.067,P1,19.0,144.0,SDS011,3528.0,-0.286,36.067,P2,7.0
56,145,DHT22,3528,-0.286,36.067,2023-02-04 06:52:20+00:00,temperature,22,145,DHT22,3528,-0.286,36.067,humidity,65,144.0,SDS011,3528.0,-0.286,36.067,P1,39.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
57,145,DHT22,3528,-0.286,36.067,2023-02-04 06:54:59+00:00,temperature,22,145,DHT22,3528,-0.286,36.067,humidity,67,144.0,SDS011,3528.0,-0.286,36.067,P1,20.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
58,145,DHT22,3528,-0.286,36.067,2023-02-04 06:57:40+00:00,temperature,22,145,DHT22,3528,-0.286,36.067,humidity,65,144.0,SDS011,3528.0,-0.286,36.067,P1,7.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
59,145,DHT22,3528,-0.286,36.067,2023-02-04 07:00:21+00:00,temperature,23,145,DHT22,3528,-0.286,36.067,humidity,66,144.0,SDS011,3528.0,-0.286,36.067,P1,6.0,144.0,SDS011,3528.0,-0.286,36.067,P2,5.0
60,145,DHT22,3528,-0.286,36.067,2023-02-04 07:03:00+00:00,temperature,23,145,DHT22,3528,-0.286,36.067,humidity,64,144.0,SDS011,3528.0,-0.286,36.067,P1,14.0,144.0,SDS011,3528.0,-0.286,36.067,P2,6.0
